JOBID,SUBMITTED_AT,RUNNING_AT,FINISHED_AT,WAIT_DURATION,RUN_DURATION
1,1282733694,1282733707,1282733785,13,78
4,1282736899,1282736911,1282737239,12,328
6,1282738136,1282738141,1282738141,5,0
7,1282738434,1282738441,1282738568,7,127
8,1282739338,1282739342,1282740438,4,1096
10,1282739347,1282739356,1282740443,9,1087
9,1282739344,1282739356,1282740444,12,1088
14,1282741377,1282741381,1282741381,4,0
15,1282741525,1282741531,1282741543,6,12
16,1282741681,1282741696,1282741760,15,64
17,1282741898,1282741906,1282741912,8,6
18,1282741968,1282741997,1282742062,29,65
19,1282742085,1282742086,1282742705,1,619
20,1282742939,1282742941,1282742941,2,0
21,1282743054,1282743061,1282743061,7,0
25,1282752009,1282752017,1282752017,8,0
26,1282752009,1282752017,1282752017,8,0
27,1282752009,1282752017,1282752017,8,0
28,1282752010,1282752017,1282752017,7,0
29,1282752010,1282752017,1282752017,7,0
31,1282752010,1282752017,1282752017,7,0
34,1282752010,1282752017,1282752017,7,0
32,1282752010,1282752017,1282752017,7,0
33,1282752010,1282752017,1282752017,7,0
35,1282752010,1282752017,1282752017,7,0
37,1282752011,1282752017,1282752017,6,0
36,1282752010,1282752017,1282752017,7,0
41,1282752011,1282752017,1282752017,6,0
40,1282752011,1282752017,1282752017,6,0
39,1282752011,1282752017,1282752017,6,0
38,1282752011,1282752017,1282752017,6,0
44,1282752011,1282752017,1282752017,6,0
45,1282752011,1282752017,1282752017,6,0
43,1282752011,1282752017,1282752017,6,0
47,1282752012,1282752017,1282752017,5,0
50,1282752012,1282752017,1282752017,5,0
53,1282752012,1282752017,1282752017,5,0
51,1282752012,1282752017,1282752017,5,0
42,1282752011,1282752017,1282752017,6,0
49,1282752012,1282752017,1282752017,5,0
52,1282752012,1282752017,1282752017,5,0
46,1282752012,1282752017,1282752017,5,0
30,1282752010,1282752017,1282752017,7,0
48,1282752012,1282752017,1282752018,5,1
23,1282751803,1282751897,1282753075,94,1178
58,1282756228,1282756232,1282756525,4,293
61,1282757415,1282757417,1282757459,2,42
60,1282757412,1282757417,1282757472,5,55
59,1282757409,1282757417,1282757562,8,145
62,1282757515,1282757537,1282757665,22,128
63,1282757604,1282757612,1282757649,8,37
64,1282757706,1282757717,1282757814,11,97
69,1282759175,1282759187,1282759334,12,147
